Topic,Sub-Topic,Problem Number,Problem Description,Status,Notes,Date Completed
SELECT Basics,,1,Select all products,Pending,,
SELECT Basics,,2,Select specific columns,Pending,,
SELECT Basics,,3,Filter by price,Pending,,
SELECT Basics,,4,Sort results,Pending,,
SELECT Basics,,5,Multiple conditions,Pending,,
SELECT Basics,,6,DISTINCT values,Pending,,
SELECT Basics,,7,LIMIT results,Pending,,
SELECT Basics,,8,BETWEEN operator,Pending,,
SELECT Basics,,9,IN operator,Pending,,
SELECT Basics,,10,LIKE pattern matching,Pending,,
SELECT Basics,,11,NULL handling,Pending,,
SELECT Basics,,12,Complex WHERE clause,Pending,,
SELECT Basics,,13,ORDER BY multiple columns,Pending,,
SELECT Basics,,14,CASE statement,Pending,,
SELECT Basics,,15,Aliasing columns,Pending,,
SELECT Basics,,16,String concatenation,Pending,,
SELECT Basics,,17,Date filtering,Pending,,
SELECT Basics,,18,Comparison operators,Pending,,
SELECT Basics,,19,Logical operators (AND/OR),Pending,,
SELECT Basics,,20,NOT operator,Pending,,

JOINS,INNER JOIN,1,Join employees and departments,Pending,,
JOINS,INNER JOIN,2,Join orders and customers,Pending,,
JOINS,INNER JOIN,3,Join three tables,Pending,,
JOINS,INNER JOIN,4,Filter joined tables,Pending,,
JOINS,INNER JOIN,5,Aggregate with JOIN,Pending,,
JOINS,LEFT JOIN,6,Left join customers and orders,Pending,,
JOINS,LEFT JOIN,7,Find customers without orders,Pending,,
JOINS,LEFT JOIN,8,Count with LEFT JOIN,Pending,,
JOINS,LEFT JOIN,9,LEFT JOIN with WHERE,Pending,,
JOINS,LEFT JOIN,10,Multiple LEFT JOINs,Pending,,
JOINS,RIGHT JOIN,11,Right join example,Pending,,
JOINS,RIGHT JOIN,12,RIGHT JOIN with aggregation,Pending,,
JOINS,SELF JOIN,13,Employee and manager self join,Pending,,
JOINS,SELF JOIN,14,Hierarchical data,Pending,,
JOINS,SELF JOIN,15,Find pairs,Pending,,
JOINS,CROSS JOIN,16,Cartesian product,Pending,,
JOINS,CROSS JOIN,17,Generate combinations,Pending,,
JOINS,FULL OUTER JOIN,18,Full outer join example,Pending,,
JOINS,Multiple JOINs,19,Join 4+ tables,Pending,,
JOINS,Complex JOINs,20,Subquery in JOIN,Pending,,

Aggregate Functions,,1,COUNT all rows,Pending,,
Aggregate Functions,,2,COUNT with DISTINCT,Pending,,
Aggregate Functions,,3,SUM of salaries,Pending,,
Aggregate Functions,,4,AVG calculation,Pending,,
Aggregate Functions,,5,MIN and MAX,Pending,,
Aggregate Functions,,6,GROUP BY single column,Pending,,
Aggregate Functions,,7,GROUP BY multiple columns,Pending,,
Aggregate Functions,,8,HAVING clause,Pending,,
Aggregate Functions,,9,GROUP BY with JOIN,Pending,,
Aggregate Functions,,10,COUNT with condition,Pending,,
Aggregate Functions,,11,SUM with GROUP BY,Pending,,
Aggregate Functions,,12,AVG by department,Pending,,
Aggregate Functions,,13,HAVING vs WHERE,Pending,,
Aggregate Functions,,14,Multiple aggregates,Pending,,
Aggregate Functions,,15,Nested aggregates,Pending,,
Aggregate Functions,,16,ROUND with aggregates,Pending,,
Aggregate Functions,,17,GROUP BY with CASE,Pending,,
Aggregate Functions,,18,HAVING with multiple conditions,Pending,,
Aggregate Functions,,19,Aggregate with subquery,Pending,,
Aggregate Functions,,20,Complex GROUP BY,Pending,,

Subqueries,,1,Subquery in WHERE clause,Pending,,
Subqueries,,2,Subquery with IN operator,Pending,,
Subqueries,,3,Correlated subquery,Pending,,
Subqueries,,4,Subquery in SELECT,Pending,,
Subqueries,,5,Subquery in FROM clause,Pending,,
Subqueries,,6,EXISTS operator,Pending,,
Subqueries,,7,NOT EXISTS,Pending,,
Subqueries,,8,ANY operator,Pending,,
Subqueries,,9,ALL operator,Pending,,
Subqueries,,10,Multiple subqueries,Pending,,
Subqueries,,11,Nested subqueries,Pending,,
Subqueries,,12,Subquery with aggregation,Pending,,
Subqueries,,13,Subquery in HAVING,Pending,,
Subqueries,,14,Subquery vs JOIN comparison,Pending,,
Subqueries,,15,Scalar subquery,Pending,,
Subqueries,,16,Row subquery,Pending,,
Subqueries,,17,Table subquery,Pending,,
Subqueries,,18,Subquery with UNION,Pending,,
Subqueries,,19,Complex correlated subquery,Pending,,
Subqueries,,20,Subquery optimization,Pending,,

CTE (Common Table Expressions),,1,Basic CTE,Pending,,
CTE (Common Table Expressions),,2,CTE with aggregation,Pending,,
CTE (Common Table Expressions),,3,Multiple CTEs,Pending,,
CTE (Common Table Expressions),,4,CTE with JOIN,Pending,,
CTE (Common Table Expressions),,5,Nested CTE,Pending,,
CTE (Common Table Expressions),Recursive CTE,6,Basic recursive CTE,Pending,,
CTE (Common Table Expressions),Recursive CTE,7,Number series generation,Pending,,
CTE (Common Table Expressions),Recursive CTE,8,Hierarchical data traversal,Pending,,
CTE (Common Table Expressions),Recursive CTE,9,Employee hierarchy,Pending,,
CTE (Common Table Expressions),Recursive CTE,10,Path finding,Pending,,
CTE (Common Table Expressions),,11,CTE vs subquery,Pending,,
CTE (Common Table Expressions),,12,CTE for code reuse,Pending,,
CTE (Common Table Expressions),,13,CTE with window functions,Pending,,
CTE (Common Table Expressions),,14,CTE with UNION,Pending,,
CTE (Common Table Expressions),Recursive CTE,15,Factorial calculation,Pending,,
CTE (Common Table Expressions),Recursive CTE,16,Tree structure,Pending,,
CTE (Common Table Expressions),,17,Complex CTE chain,Pending,,
CTE (Common Table Expressions),,18,CTE performance,Pending,,
CTE (Common Table Expressions),Recursive CTE,19,Graph traversal,Pending,,
CTE (Common Table Expressions),,20,Advanced CTE patterns,Pending,,

Window Functions,ROW_NUMBER,1,Basic ROW_NUMBER,Pending,,
Window Functions,ROW_NUMBER,2,ROW_NUMBER with ORDER BY,Pending,,
Window Functions,ROW_NUMBER,3,ROW_NUMBER with PARTITION BY,Pending,,
Window Functions,RANK,4,RANK function,Pending,,
Window Functions,DENSE_RANK,5,DENSE_RANK function,Pending,,
Window Functions,RANK vs DENSE_RANK,6,Compare ranking functions,Pending,,
Window Functions,NTILE,7,NTILE for quartiles,Pending,,
Window Functions,LAG,8,LAG to get previous row,Pending,,
Window Functions,LEAD,9,LEAD to get next row,Pending,,
Window Functions,LAG/LEAD,10,Calculate differences with LAG,Pending,,
Window Functions,FIRST_VALUE,11,FIRST_VALUE function,Pending,,
Window Functions,LAST_VALUE,12,LAST_VALUE function,Pending,,
Window Functions,Running Totals,13,Cumulative SUM,Pending,,
Window Functions,Moving Averages,14,Moving average calculation,Pending,,
Window Functions,,15,Window frame specification,Pending,,
Window Functions,,16,ROWS vs RANGE,Pending,,
Window Functions,,17,Multiple window functions,Pending,,
Window Functions,,18,Window functions with CTEs,Pending,,
Window Functions,,19,Partition by multiple columns,Pending,,
Window Functions,,20,Complex window function queries,Pending,,

String Functions,,1,CONCAT function,Pending,,
String Functions,,2,UPPER and LOWER,Pending,,
String Functions,,3,LENGTH/LEN function,Pending,,
String Functions,,4,SUBSTRING/SUBSTR,Pending,,
String Functions,,5,TRIM functions,Pending,,
String Functions,,6,REPLACE function,Pending,,
String Functions,,7,LEFT and RIGHT,Pending,,
String Functions,,8,CHARINDEX/POSITION,Pending,,
String Functions,,9,STUFF/INSERT,Pending,,
String Functions,,10,REVERSE function,Pending,,
String Functions,,11,REPLICATE/REPEAT,Pending,,
String Functions,,12,String comparison,Pending,,
String Functions,,13,CONCAT_WS function,Pending,,
String Functions,,14,FORMAT function,Pending,,
String Functions,,15,TRANSLATE function,Pending,,
String Functions,,16,Pattern matching with wildcards,Pending,,
String Functions,,17,String aggregation,Pending,,
String Functions,,18,SOUNDEX function,Pending,,
String Functions,,19,Complex string manipulation,Pending,,
String Functions,,20,String parsing,Pending,,

Date Functions,,1,GETDATE/CURRENT_DATE,Pending,,
Date Functions,,2,DATEADD function,Pending,,
Date Functions,,3,DATEDIFF function,Pending,,
Date Functions,,4,YEAR MONTH DAY extraction,Pending,,
Date Functions,,5,DATEPART function,Pending,,
Date Functions,,6,Date formatting,Pending,,
Date Functions,,7,EOMONTH function,Pending,,
Date Functions,,8,Date comparison,Pending,,
Date Functions,,9,DATEFROMPARTS,Pending,,
Date Functions,,10,Week calculations,Pending,,
Date Functions,,11,Quarter calculations,Pending,,
Date Functions,,12,Age calculation,Pending,,
Date Functions,,13,Business days calculation,Pending,,
Date Functions,,14,Date ranges,Pending,,
Date Functions,,15,BETWEEN with dates,Pending,,
Date Functions,,16,Time extraction,Pending,,
Date Functions,,17,Timestamp operations,Pending,,
Date Functions,,18,Date series generation,Pending,,
Date Functions,,19,Fiscal year calculations,Pending,,
Date Functions,,20,Complex date logic,Pending,,

Set Operations,UNION,1,Basic UNION,Pending,,
Set Operations,UNION,2,UNION with multiple queries,Pending,,
Set Operations,UNION ALL,3,UNION vs UNION ALL,Pending,,
Set Operations,UNION ALL,4,Performance with UNION ALL,Pending,,
Set Operations,INTERSECT,5,INTERSECT operation,Pending,,
Set Operations,INTERSECT,6,Find common records,Pending,,
Set Operations,EXCEPT/MINUS,7,EXCEPT operation,Pending,,
Set Operations,EXCEPT/MINUS,8,Find differences,Pending,,
Set Operations,,9,Combine multiple set operations,Pending,,
Set Operations,,10,Set operations with ORDER BY,Pending,,
Set Operations,,11,UNION with different column counts,Pending,,
Set Operations,,12,UNION with aggregations,Pending,,
Set Operations,,13,Nested set operations,Pending,,
Set Operations,,14,Set operations with CTEs,Pending,,
Set Operations,,15,INTERSECT with multiple tables,Pending,,
Set Operations,,16,EXCEPT with conditions,Pending,,
Set Operations,,17,Set operations performance,Pending,,
Set Operations,,18,Alternative to set operations,Pending,,
Set Operations,,19,Complex set operation queries,Pending,,
Set Operations,,20,Set operations best practices,Pending,,

CASE Expressions,,1,Simple CASE statement,Pending,,
CASE Expressions,,2,Searched CASE statement,Pending,,
CASE Expressions,,3,CASE in SELECT,Pending,,
CASE Expressions,,4,CASE in WHERE clause,Pending,,
CASE Expressions,,5,CASE in ORDER BY,Pending,,
CASE Expressions,,6,CASE with aggregation,Pending,,
CASE Expressions,,7,Nested CASE statements,Pending,,
CASE Expressions,,8,CASE for categorization,Pending,,
CASE Expressions,,9,CASE with NULL handling,Pending,,
CASE Expressions,,10,Multiple conditions in CASE,Pending,,
CASE Expressions,,11,CASE with dates,Pending,,
CASE Expressions,,12,CASE in GROUP BY,Pending,,
CASE Expressions,,13,CASE with JOINs,Pending,,
CASE Expressions,,14,COALESCE function,Pending,,
CASE Expressions,,15,NULLIF function,Pending,,
CASE Expressions,,16,IIF function (SQL Server),Pending,,
CASE Expressions,,17,CASE for pivot logic,Pending,,
CASE Expressions,,18,CASE performance considerations,Pending,,
CASE Expressions,,19,Complex CASE logic,Pending,,
CASE Expressions,,20,CASE alternatives,Pending,,

Data Modification (INSERT/UPDATE/DELETE),,1,Basic INSERT statement,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,2,INSERT multiple rows,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,3,INSERT with SELECT,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,4,INSERT with default values,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,5,Basic UPDATE statement,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,6,UPDATE with WHERE clause,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,7,UPDATE with JOIN,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,8,UPDATE with subquery,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,9,UPDATE with CASE,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,10,Basic DELETE statement,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,11,DELETE with WHERE clause,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,12,DELETE with subquery,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,13,DELETE with JOIN,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,14,TRUNCATE vs DELETE,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,15,MERGE statement,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,16,UPSERT operation,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,17,Bulk INSERT,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,18,Transaction basics,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,19,Rollback and commit,Pending,,
Data Modification (INSERT/UPDATE/DELETE),,20,Error handling in DML,Pending,,

Indexes and Performance,,1,Create basic INDEX,Pending,,
Indexes and Performance,,2,Composite INDEX,Pending,,
Indexes and Performance,,3,Unique INDEX,Pending,,
Indexes and Performance,,4,Clustered vs Non-clustered,Pending,,
Indexes and Performance,,5,Index scan vs seek,Pending,,
Indexes and Performance,,6,EXPLAIN/EXPLAIN PLAN,Pending,,
Indexes and Performance,,7,Query optimization basics,Pending,,
Indexes and Performance,,8,Avoid SELECT *,Pending,,
Indexes and Performance,,9,Use appropriate WHERE clauses,Pending,,
Indexes and Performance,,10,Index on JOIN columns,Pending,,
Indexes and Performance,,11,Index on WHERE columns,Pending,,
Indexes and Performance,,12,Index fragmentation,Pending,,
Indexes and Performance,,13,Index maintenance,Pending,,
Indexes and Performance,,14,Statistics update,Pending,,
Indexes and Performance,,15,Query hints,Pending,,
Indexes and Performance,,16,Covering INDEX,Pending,,
Indexes and Performance,,17,Filtered INDEX,Pending,,
Indexes and Performance,,18,Index pros and cons,Pending,,
Indexes and Performance,,19,Analyze execution plan,Pending,,
Indexes and Performance,,20,Performance tuning techniques,Pending,,
